chodba               chod-b-a
palba                pal-b-a
předvolba            před-vol-b-a
sazba                saz-b-a
voda                 vod-a
zvolala              z-vol-a-l-a
poslala              po-sl-a-l-a
dělala               děl-a-l-a
udělala              u-děl-a-l-a
začervenala          za-červen-a-l-a
zahnala              za-hn-a-l-a
kousala              kous-a-l-a
potřebovala          po-třeb-ova-l-a
sledovala            sled-ova-l-a
milovala             mil-ova-l-a
zamilovala           za-mil-ova-l-a
kupovala             kup-ova-l-a
ukazovala            u-kaz-ova-l-a
pokračovala          po-krač-ova-l-a
přivedla             při-ved-l-a
dovedla              do-ved-l-a
nedovedla            ne-do-ved-l-a
uvedla               u-ved-l-a
neuzvedla            ne-u-z-ved-l-a
vracela              vrac-e-l-a
nemusela             ne-mus-e-l-a
slyšela              slyš-e-l-a
ležela               lež-e-l-a
držela               drž-e-l-a
běžela               běž-e-l-a
neběžela             ne-běž-e-l-a
chodila              chod-i-l-a
jezdila              jezd-i-l-a
nezapálila           ne-za-pál-i-l-a
popálila             po-pál-i-l-a
propálila            pro-pál-i-l-a
zlomila              z-lom-i-l-a
potopila             po-top-i-l-a
vyplatila            vy-plat-i-l-a
pustila              pust-i-l-a
spustila             s-pust-i-l-a
upustila             u-pust-i-l-a
necítila             ne-cít-i-l-a
mluvila              mluv-i-l-a
nesla                nes-l-a
odnesla              od-nes-l-a
přinesla             při-nes-l-a
donesla              do-nes-l-a
nepronesla           ne-pro-nes-l-a
napomenula           na-po-me-nu-l-a
seděla               sed-ě-l-a
vyseděla             vy-sed-ě-l-a
viděla               vid-ě-l-a
neviděla             ne-vid-ě-l-a
uviděla              u-vid-ě-l-a
zima                 zim-a
cena                 cen-a
síra                 sír-a
pusa                 pus-a
místa                míst-a
kopyta               kopyt-a
hlava                hlav-a
západ                zá-pad
střed                střed
východ               vý-chod
řád                  řád
vede                 ved-e
nevede               ne-ved-e
přivede              při-ved-e
nepřivede            ne-při-ved-e
uvede                u-ved-e
vyvede               vy-ved-e
čase                 čas-e
lese                 les-e
nese                 nes-e
přenese              pře-nes-e
unese                u-nes-e
potřebuje            po-třeb-uje
spotřebuje           s-po-třeb-uje
pracuje              prac-uje
vypracuje            vy-prac-uje
odhaduje             od-had-uje
požaduje             po-žad-uje
děkuje               děk-uje
nemiluje             ne-mil-uje
posiluje             po-sil-uje
kupuje               kup-uje
nakupuje             na-kup-uje
odkazuje             od-kaz-uje
neodkazuje           ne-od-kaz-uje
dokazuje             do-kaz-uje
ukazuje              u-kaz-uje
vykazuje             vy-kaz-uje
vzkazuje             vz-kaz-uje
překračuje           pře-krač-uje
pokračuje            po-krač-uje
dovedeme             do-ved-e-me
přineseme            při-nes-e-me
potřebujeme          po-třeb-uje-me
pracujeme            prac-uje-me
odhadujeme           od-had-uje-me
vyžadujeme           vy-žad-uje-me
sledujeme            sled-uje-me
děkujeme             děk-uje-me
usilujeme            u-sil-uje-me
kupujeme             kup-uje-me
nakupujeme           na-kup-uje-me
operujeme            oper-uje-me
zasazujeme           za-saz-uje-me
prosazujeme          pro-saz-uje-me
pokračujeme          po-krač-uje-me
propadneme           pro-pad-ne-me
zvládneme            z-vlád-ne-me
řekneme              řek-ne-me
zavoláme             za-vol-á-me
děláme               děl-á-me
uděláme              u-děl-á-me
jednáme              jedn-á-me
uvidíme              u-vid-í-me
soudíme              soud-í-me
odsoudíme            od-soud-í-me
jezdíme              jezd-í-me
nekoupíme            ne-koup-í-me
honosíme             honos-í-me
musíme               mus-í-me
pověsíme             po-věs-í-me
platíme              plat-í-me
připustíme           při-pust-í-me
nenutíme             ne-nut-í-me
cítíme               cít-í-me
vaříme               vař-í-me
tvoříme              tvoř-í-me
netvoříme            ne-tvoř-í-me
vytvoříme            vy-tvoř-í-me
sušíme               suš-í-me
napadne              na-pad-ne
nenapadne            ne-na-pad-ne
nepadne              ne-pad-ne
dopadne              do-pad-ne
spadne               s-pad-ne
upadne               u-pad-ne
zvládne              z-vlád-ne
odtáhne              od-táh-ne
vznikne              vz-nik-ne
tiskne               tisk-ne
přitiskne            při-tisk-ne
dovedete             do-ved-e-te
nepotřebujete        ne-po-třeb-uje-te
nakupujete           na-kup-uje-te
řeknete              řek-ne-te
uniknete             u-nik-ne-te
povoláte             po-vol-á-te
děláte               děl-á-te
uděláte              u-děl-á-te
jednáte              jedn-á-te
nevidíte             ne-vid-í-te
uvidíte              u-vid-í-te
nechodíte            ne-chod-í-te
soudíte              soud-í-te
odsoudíte            od-soud-í-te
nepokusíte           ne-po-kus-í-te
musíte               mus-í-te
nemusíte             ne-mus-í-te
mluvíte              mluv-í-te
obdržíte             ob-drž-í-te
brodech              brod-ech
cenách               cen-ách
jih                  jih
odpískali            od-písk-a-l-i
volali               vol-a-l-i
zavolali             za-vol-a-l-i
nezavolali           ne-za-vol-a-l-i
zvolali              z-vol-a-l-i
dělali               děl-a-l-i
udělali              u-děl-a-l-i
přijímali            při-jím-a-l-i
sjednali             s-jedn-a-l-i
hnali                hn-a-l-i
pracovali            prac-ova-l-i
poděkovali           po-děk-ova-l-i
milovali             mil-ova-l-i
dokazovali           do-kaz-ova-l-i
ukazovali            u-kaz-ova-l-i
zasazovali           za-saz-ova-l-i
vedli                ved-l-i
odvedli              od-ved-l-i
přivedli             při-ved-l-i
dovedli              do-ved-l-i
vraceli              vrac-e-l-i
museli               mus-e-l-i
drželi               drž-e-l-i
vydrželi             vy-drž-e-l-i
běželi               běž-e-l-i
chodili              chod-i-l-i
odsoudili            od-soud-i-l-i
koupili              koup-i-l-i
pověsili             po-věs-i-l-i
zaplatili            za-plat-i-l-i
dopustili            do-pust-i-l-i
nepocítili           ne-po-cít-i-l-i
stvořili             s-tvoř-i-l-i
odnesli              od-nes-l-i
přinesli             při-nes-l-i
donesli              do-nes-l-i
neseděli             ne-sed-ě-l-i
vyseděli             vy-sed-ě-l-i
neviděli             ne-vid-ě-l-i
cíli                 cíl-i
slabosti             slab-ost-i
radosti              rad-ost-i
žádosti              žád-ost-i
mnohosti             mnoh-ost-i
veselosti            vesel-ost-i
rychlosti            rychl-ost-i
místnosti            míst-n-ost-i
volbami              vol-b-ami
pusami               pus-ami
řek                  řek
zapráskal            za-prásk-a-l
pískal               písk-a-l
zapískal             za-písk-a-l
zafoukal             za-fouk-a-l
volal                vol-a-l
zavolal              za-vol-a-l
zvolal               z-vol-a-l
poslal               po-sl-a-l
vyžvatlal            vy-žvatl-a-l
dělal                děl-a-l
nenadělal            ne-na-děl-a-l
nedělal              ne-děl-a-l
dodělal              do-děl-a-l
udělal               u-děl-a-l
neudělal             ne-u-děl-a-l
zakašlal             za-kašl-a-l
jednal               jedn-a-l
začervenal           za-červen-a-l
zahnal               za-hn-a-l
přihnal              při-hn-a-l
rozžehnal            roz-žehn-a-l
kousal               kous-a-l
pokousal             po-kous-a-l
rozkousal            roz-kous-a-l
potřeboval           po-třeb-ova-l
nepracoval           ne-prac-ova-l
odhadoval            od-had-ova-l
kupoval              kup-ova-l
ukazoval             u-kaz-ova-l
pokračoval           po-krač-ova-l
vedl                 ved-l
předvedl             před-ved-l
odvedl               od-ved-l
přivedl              při-ved-l
nepřivedl            ne-při-ved-l
dovedl               do-ved-l
provedl              pro-ved-l
uvedl                u-ved-l
zvedl                z-ved-l
nezvedl              ne-z-ved-l
vracel               vrac-e-l
převracel            pře-vrac-e-l
musel                mus-e-l
nemusel              ne-mus-e-l
slyšel               slyš-e-l
neslyšel             ne-slyš-e-l
ležel                lež-e-l
proležel             pro-lež-e-l
držel                drž-e-l
zdržel               z-drž-e-l
nepozdržel           ne-po-z-drž-e-l
běžel                běž-e-l
neběžel              ne-běž-e-l
chodil               chod-i-l
nepochodil           ne-po-chod-i-l
dopálil              do-pál-i-l
popálil              po-pál-i-l
spálil               s-pál-i-l
vpálil               v-pál-i-l
posílil              po-síl-i-l
lomil                lom-i-l
zlomil               z-lom-i-l
utopil               u-top-i-l
koupil               koup-i-l
zakoupil             za-koup-i-l
prosil               pros-i-l
poprosil             po-pros-i-l
pokusil              po-kus-i-l
platil               plat-i-l
zaplatil             za-plat-i-l
pustil               pust-i-l
odpustil             od-pust-i-l
spustil              s-pust-i-l
vypustil             vy-pust-i-l
vnutil               v-nut-i-l
cítil                cít-i-l
necítil              ne-cít-i-l
docítil              do-cít-i-l
pocítil              po-cít-i-l
mluvil               mluv-i-l
domluvil             do-mluv-i-l
nepromluvil          ne-pro-mluv-i-l
stvořil              s-tvoř-i-l
vytvořil             vy-tvoř-i-l
nesl                 nes-l
odnesl               od-nes-l
přenesl              pře-nes-l
přinesl              při-nes-l
nepřinesl            ne-při-nes-l
pronesl              pro-nes-l
vznesl               vz-nes-l
natáhnul             na-táh-nu-l
seděl                sed-ě-l
neseděl              ne-sed-ě-l
vyseděl              vy-sed-ě-l
viděl                vid-ě-l
